symbol,companyName,industry,cik,sector,country,mktCap,price,revenue,inventory,daysOfSalesOutstanding,daysOfInventoryOutstanding,daysOfPayablesOutstanding,priceEarningsRatio,grossProfitMargin,operatingProfitMargin,returnOnEquity,enterpriseValue,roic,capexToDepreciation,investedCapital,revenuePerShare,bookValuePerShare,ebitda,eps
CRUS,"Cirrus Logic, Inc.",Semiconductors,772406,Technology,US,5374569486,101.14,541857000,-39199000,53.83121377042280,94.33846189449490,31.901128952007000,15.85627570001960,0.5215213608018350,0.24333357324903100,0.05297368897380720,6185087000.0,0.049305800048303600,0.21715010302742100,1758846000,10.170943219145900,36.19196621304550,152867000,1.92
CDNS,"Cadence Design Systems, Inc.",Software - Application,813672,Technology,US,82004637000,299.0,1215499000,-123201000,41.536496533522400,493.93837346354600,1056.070045462200,77.47047734040010,0.9560254677297140,0.2879936552806710,0.052179128523900700,73825441320.0,0.033835704974391100,0.47940751445086700,6029391000,4.464741188051900,16.7619414936601,412959000,0.87
MSFT,Microsoft Corporation,Software - Infrastructure,789019,Technology,US,3114842976000,418.95,65585000000,-373000000,60.58275520317150,7.280959251704070,101.9513408627300,32.415979851623600,0.6935427308073490,0.4658382252039340,0.08573176284134390,3274417900000.0,0.07480358161239230,2.0212650684003800,354242000000,8.823489842593840,38.708865868424600,38234000000,3.32
MPWR,"Monolithic Power Systems, Inc.",Semiconductors,1280452,Technology,US,28840199400,591.23,620119000,1815000,23.90405712451970,138.2294814150850,37.68975263485090,78.02369054213110,0.5538340221796140,0.264510521367673,0.061415407643014200,44388981500.0,0.057794031673426800,3.580518413920760,2296432000,12.718563488319600,48.2328691264844,174306000,2.96
SLAB,Silicon Laboratories Inc.,Semiconductors,1038074,Technology,US,4318504320,133.09,166395000,26601000,26.437753538267400,165.0063089824140,52.815646276386000,-33.02139848793150,0.5427627032062260,-0.1785390186003190,-0.026358765510187900,3461885770.0,-0.02955078326641230,0.1905748316934230,1049473000,5.150112971617820,33.4701166857532,-14635000,-0.88
ACMR,"ACM Research, Inc.",Semiconductors,1680062,Technology,US,978246908,15.62,203976000,-17312000,189.03900458877500,570.7449920316310,155.05940973553100,10.263787300187700,0.5139526218770840,0.21661371926109000,0.034795297275509300,1080840330.9,0.03885425873505960,13.377237851662400,1093896000,3.2635688479572800,17.105080865791700,46276000,0.49
UCTT,"Ultra Clean Holdings, Inc.",Semiconductors,1275014,Technology,US,1673982715,37.15,540400000,-2700000,37.988527017024400,81.06040268456380,46.95302013422820,-196.43478260869600,0.17283493708364200,0.046632124352331600,-0.002680965147453080,2155800000.0,0.0005489789427362680,0.8,1574600000,12.008888888888900,20.497777777777800,41200000,-0.0511
ENTG,"Entegris, Inc.",Semiconductors,1101302,Technology,US,14936722160,98.92,807694000,80541000,56.06683966947880,132.77626993431500,35.96725162835620,55.96134593075710,0.4603537973539480,0.16867897991070900,0.02159548616426960,21133007560.0,0.01597154109819390,-2.4892039387827700,7840747000,5.342032858012120,23.760615360194700,236611000,0.51
TXN,Texas Instruments Incorporated,Semiconductors,97476,Technology,US,173458062550,190.15,4151000000,-190000000,40.37099494097810,230.5545617173520,42.61180679785330,34.617916666666700,0.5960009636232230,0.37436762225969600,0.07887421820708830,200583410000.0,0.0437084817560412,3.27363184079602,29379000000,4.546549835706460,18.913472070098600,2087000000,1.48
FORM,"FormFactor, Inc.",Semiconductors,1039399,Technology,US,3424865532,44.22,207917000,6896000,50.58720547141410,76.97026263675620,38.046131870272400,47.82101035439800,0.4073981444518730,0.08587561382667120,0.01961864273672530,3441220800.0,0.016344526006346900,1.0803722504230100,925902000,2.6860579283259700,12.337674082112500,26129000,0.24
